COUNTRY                                 DIVISION_TYPE                    DIVISION                                              ID0    ID1 NC_INDEX
Angola                                  Province                         Moxico                                                  8     15      815
Angola                                  Province                         Namibe                                                  8     16      816
Angola                                  Province                         Uíge                                                    8     17      817
Angola                                  Province                         Zaire                                                   8     18      818
Antigua and Barbuda                     Dependency                       Barbuda                                                11      1     1101
Antigua and Barbuda                     Dependency                       Redonda                                                11      2     1102
Antigua and Barbuda                     Parish                           Saint George                                           11      3     1103
Antigua and Barbuda                     Parish                           Saint John                                             11      4     1104
Antigua and Barbuda                     Parish                           Saint Mary                                             11      5     1105
Antigua and Barbuda                     Parish                           Saint Paul                                             11      6     1106
Antigua and Barbuda                     Parish                           Saint Peter                                            11      7     1107
Antigua and Barbuda                     Parish                           Saint Philip                                           11      8     1108
Argentina                               Federal District                 Ciudad de Buenos Aires                                 12      6     1206
Argentina                               National Territory               Tierra del Fuego                                       12     23     1223
Argentina                               Province                         Buenos Aires                                           12      1     1201
Argentina                               Province                         Catamarca                                              12      3     1203
Argentina                               Province                         Chaco                                                  12      4     1204
Argentina                               Province                         Chubut                                                 12      5     1205
Argentina                               Province                         Corrientes                                             12      7     1207
Argentina                               Province                         Córdoba                                                12      2     1202
Argentina                               Province                         Entre Ríos                                             12      8     1208
Argentina                               Province                         Formosa                                                12      9     1209
Argentina                               Province                         Jujuy                                                  12     10     1210
Argentina                               Province                         La Pampa                                               12     11     1211
Argentina                               Province                         La Rioja                                               12     12     1212
Argentina                               Province                         Mendoza                                                12     13     1213
Argentina                               Province                         Misiones                                               12     14     1214
Argentina                               Province                         Neuquén                                                12     15     1215
Argentina                               Province                         Río Negro                                              12     16     1216
Argentina                               Province                         Salta                                                  12     17     1217
Argentina                               Province                         San Juan                                               12     18     1218
Argentina                               Province                         San Luis                                               12     19     1219
Argentina                               Province                         Santa Cruz                                             12     20     1220
Argentina                               Province                         Santa Fe                                               12     21     1221
Argentina                               Province                         Santiago del Estero                                    12     22     1222
Argentina                               Province                         Tucumán                                                12     24     1224
Armenia                                 City                             Erevan                                                 13      4     1304
Armenia                                 Province                         Aragatsotn                                             13      1     1301
Armenia                                 Province                         Ararat                                                 13      2     1302
Armenia                                 Province                         Armavir                                                13      3     1303
Armenia                                 Province                         Gegharkunik                                            13      5     1305
Armenia                                 Province                         Kotayk                                                 13      6     1306
Armenia                                 Province                         Lori                                                   13      7     1307
Armenia                                 Province                         Shirak                                                 13      8     1308
Armenia                                 Province                         Syunik                                                 13      9     1309
Armenia                                 Province                         Tavush                                                 13     10     1310
Armenia                                 Province                         Vayots Dzor                                            13     11     1311
Australia                               State                            New South Wales                                        15      5     1505
Australia                               State                            Queensland                                             15      7     1507
Australia                               State                            South Australia                                        15      8     1508
Australia                               State                            Tasmania                                               15      9     1509
Australia                               State                            Victoria                                               15     10     1510
Australia                               State                            Western Australia                                      15     11     1511
Australia                               Territory                        Ashmore and Cartier Islands                            15      1     1501
Australia                               Territory                        Australian Capital Territory                           15      2     1502
Australia                               Territory                        Coral Sea Islands                                      15      3     1503
Australia                               Territory                        Jervis Bay Territory                                   15      4     1504
Australia                               Territory                        Northern Territory                                     15      6     1506
Austria                                 State                            Burgenland                                             16      1     1601
Austria                                 State                            Kärnten                                                16      2     1602
Austria                                 State                            Niederösterreich                                       16      3     1603
Austria                                 State                            Oberösterreich                                         16      4     1604
Austria                                 State                            Salzburg                                               16      5     1605
Austria                                 State                            Steiermark                                             16      6     1606
Austria                                 State                            Tirol                                                  16      7     1607
Austria                                 State                            Vorarlberg                                             16      8     1608
Austria                                 State                            Wien                                                   16      9     1609
Azerbaijan                              Region                           Absheron                                               17      1     1701
Azerbaijan                              Region                           Aran                                                   17      2     1702
Azerbaijan                              Region                           Daglig-Shirvan                                         17      3     1703
Azerbaijan                              Region                           Ganja-Qazakh                                           17      4     1704
Azerbaijan                              Region                           Kalbajar-Lachin                                        17      5     1705
Azerbaijan                              Region                           Lankaran                                               17      6     1706
Azerbaijan                              Region                           Nakhchivan                                             17      7     1707
Azerbaijan                              Region                           Quba-Khachmaz                                          17      8     1708
Azerbaijan                              Region                           Shaki-Zaqatala                                         17      9     1709
Azerbaijan                              Region                           Yukhari-Karabakh                                       17     10     1710
Bahamas                                 District                         Acklins                                                18      1     1801
Bahamas                                 District                         Berry Islands                                          18      2     1802
Bahamas                                 District                         Biminis                                                18      3     1803
Bahamas                                 District                         Black Point                                            18      4     1804
Bahamas                                 District                         Cat Island                                             18      5     1805
Bahamas                                 District                         Central Abaco                                          18      6     1806
Bahamas                                 District                         Central Andros                                         18      7     1807
Bahamas                                 District                         Central Eleuthera                                      18      8     1808
Bahamas                                 District                         City of Freeport                                       18      9     1809
Bahamas                                 District                         Crooked Island                                         18     10     1810
Bahamas                                 District                         East Grand Bahama                                      18     11     1811
Bahamas                                 District                         Exuma                                                  18     12     1812
Bahamas                                 District                         Grand Cay                                              18     13     1813
Bahamas                                 District                         Harbour Island                                         18     14     1814
Bahamas                                 District                         Hope Town                                              18     15     1815
Bahamas                                 District                         Inagua                                                 18     16     1816
Bahamas                                 District                         Long Island                                            18     17     1817
Bahamas                                 District                         Mangrove Cay                                           18     18     1818
Bahamas                                 District                         Mayaguana                                              18     19     1819
Bahamas                                 District                         Moore's Island                                         18     20     1820
Bahamas                                 District                         New Providence                                         18     21     1821
Bahamas                                 District                         North Abaco                                            18     22     1822
Bahamas                                 District                         North Andros                                           18     23     1823
Bahamas                                 District                         North Eleuthera                                        18     24     1824
Bahamas                                 District                         Ragged Island                                          18     25     1825
Bahamas                                 District                         Rum Cay                                                18     26     1826
Bahamas                                 District                         San Salvador                                           18     27     1827
Bahamas                                 District                         South Abaco                                            18     28     1828
Bahamas                                 District                         South Andros                                           18     29     1829
Bahamas                                 District                         South Eleuthera                                        18     30     1830
Bahamas                                 District                         Spanish Wells                                          18     31     1831
Bahamas                                 District                         West Grand Bahama                                      18     32     1832
Bahrain                                 Governorate                      Capital                                                19      1     1901
Bahrain                                 Governorate                      Central                                                19      2     1902
