COUNTRY                                 DIVISION_TYPE                    DIVISION                                              ID0    ID1 NC_INDEX
Cambodia                                Province                         Takêv                                                  40     24     4024
Cambodia                                Province                         Tbong Khmum                                            40     25     4025
Cameroon                                Region                           Adamaoua                                               41      1     4101
Cameroon                                Region                           Centre                                                 41      2     4102
Cameroon                                Region                           Est                                                    41      3     4103
Cameroon                                Region                           Extrême-Nord                                           41      4     4104
Cameroon                                Region                           Littoral                                               41      5     4105
Cameroon                                Region                           Nord                                                   41      7     4107
Cameroon                                Region                           Nord-Ouest                                             41      6     4106
Cameroon                                Region                           Ouest                                                  41      8     4108
Cameroon                                Region                           Sud                                                    41     10     4110
Cameroon                                Region                           Sud-Ouest                                              41      9     4109
Canada                                  Province                         Alberta                                                42      1     4201
Canada                                  Province                         British Columbia                                       42      2     4202
Canada                                  Province                         Manitoba                                               42      3     4203
Canada                                  Province                         New Brunswick                                          42      4     4204
Canada                                  Province                         Newfoundland and Labrador                              42      5     4205
Canada                                  Province                         Nova Scotia                                            42      7     4207
Canada                                  Province                         Ontario                                                42      9     4209
Canada                                  Province                         Prince Edward Island                                   42     10     4210
Canada                                  Province                         Québec                                                 42     11     4211
Canada                                  Province                         Saskatchewan                                           42     12     4212
Canada                                  Territory                        Northwest Territories                                  42      6     4206
Canada                                  Territory                        Nunavut                                                42      8     4208
Canada                                  Territory                        Yukon                                                  42     13     4213
Cape Verde                              County                           Boa Vista                                              43      1     4301
Cape Verde                              County                           Brava                                                  43      2     4302
Cape Verde                              County                           Maio                                                   43      3     4303
Cape Verde                              County                           Mosteiros                                              43      4     4304
Cape Verde                              County                           Paúl                                                   43      5     4305
Cape Verde                              County                           Porto Novo                                             43      6     4306
Cape Verde                              County                           Praia                                                  43      7     4307
Cape Verde                              County                           Ribeira Brava                                          43      8     4308
Cape Verde                              County                           Ribeira Grande                                         43     10     4310
Cape Verde                              County                           Ribeira Grande de Santiago                             43      9     4309
Cape Verde                              County                           Sal                                                    43     17     4317
Cape Verde                              County                           Santa Catarina                                         43     19     4319
Cape Verde                              County                           Santa Catarina do Fogo                                 43     18     4318
Cape Verde                              County                           Santa Cruz                                             43     20     4320
Cape Verde                              County                           São Domingos                                           43     11     4311
Cape Verde                              County                           São Filipe                                             43     12     4312
Cape Verde                              County                           São Lourenço dos Órgãos                                43     13     4313
Cape Verde                              County                           São Miguel                                             43     14     4314
Cape Verde                              County                           São Salvador do Mundo                                  43     15     4315
Cape Verde                              County                           São Vicente                                            43     16     4316
Cape Verde                              County                           Tarrafal                                               43     22     4322
Cape Verde                              County                           Tarrafal de São Nicolau                                43     21     4321
Cayman Islands                          District                         Bodden Town                                            45      1     4501
Cayman Islands                          District                         Cayman Brac                                            45      2     4502
Cayman Islands                          District                         East End                                               45      3     4503
Cayman Islands                          District                         George Town                                            45      4     4504
Cayman Islands                          District                         Little Cayman                                          45      5     4505
Cayman Islands                          District                         North Side                                             45      6     4506
Cayman Islands                          District                         West Bay                                               45      7     4507
Central African Republic                Autonomous Commune               Bangui                                                 46      2     4602
Central African Republic                Economic Prefecture              Nana-Grébizi                                           46     10     4610
Central African Republic                Economic Prefecture              Sangha-Mbaéré                                          46     16     4616
Central African Republic                Prefecture                       Bamingui-Bangoran                                      46      1     4601
Central African Republic                Prefecture                       Basse-Kotto                                            46      3     4603
Central African Republic                Prefecture                       Haut-Mbomou                                            46      4     4604
Central African Republic                Prefecture                       Haute-Kotto                                            46      5     4605
Central African Republic                Prefecture                       Kémo                                                   46      6     4606
Central African Republic                Prefecture                       Lobaye                                                 46      7     4607
Central African Republic                Prefecture                       Mambéré-Kadéï                                          46      8     4608
Central African Republic                Prefecture                       Mbomou                                                 46      9     4609
Central African Republic                Prefecture                       Nana-Mambéré                                           46     11     4611
Central African Republic                Prefecture                       Ombella-M'Poko                                         46     12     4612
Central African Republic                Prefecture                       Ouaka                                                  46     13     4613
Central African Republic                Prefecture                       Ouham                                                  46     15     4615
Central African Republic                Prefecture                       Ouham-Pendé                                            46     14     4614
Central African Republic                Prefecture                       Vakaga                                                 46     17     4617
Chad                                    Region                           Barh el Ghazel                                         47      1     4701
Chad                                    Region                           Batha                                                  47      2     4702
Chad                                    Region                           Borkou                                                 47      3     4703
Chad                                    Region                           Chari-Baguirmi                                         47      4     4704
Chad                                    Region                           Ennedi Est                                             47      5     4705
Chad                                    Region                           Ennedi Ouest                                           47      6     4706
Chad                                    Region                           Guéra                                                  47      7     4707
Chad                                    Region                           Hadjer-Lamis                                           47      8     4708
Chad                                    Region                           Kanem                                                  47      9     4709
Chad                                    Region                           Lac                                                    47     10     4710
Chad                                    Region                           Logone Occidental                                      47     11     4711
Chad                                    Region                           Logone Oriental                                        47     12     4712
Chad                                    Region                           Mandoul                                                47     13     4713
Chad                                    Region                           Mayo-Kebbi Est                                         47     14     4714
Chad                                    Region                           Mayo-Kebbi Ouest                                       47     15     4715
Chad                                    Region                           Moyen-Chari                                            47     16     4716
Chad                                    Region                           Ouaddaï                                                47     17     4717
Chad                                    Region                           Salamat                                                47     18     4718
Chad                                    Region                           Sila                                                   47     19     4719
Chad                                    Region                           Tandjilé                                               47     20     4720
Chad                                    Region                           Tibesti                                                47     21     4721
Chad                                    Region                           Ville de N'Djamena                                     47     22     4722
Chad                                    Region                           Wadi Fira                                              47     23     4723
Chile                                   Region                           Aisén del General Carlos Ibáñez del Campo              48      1     4801
Chile                                   Region                           Antofagasta                                            48      2     4802
Chile                                   Region                           Araucanía                                              48      3     4803
Chile                                   Region                           Arica y Parinacota                                     48      4     4804
Chile                                   Region                           Atacama                                                48      5     4805
Chile                                   Region                           Bío-Bío                                                48      6     4806
Chile                                   Region                           Coquimbo                                               48      7     4807
Chile                                   Region                           Libertador General Bernardo O'Higgins                  48      8     4808
Chile                                   Region                           Los Lagos                                              48      9     4809
Chile                                   Region                           Los Ríos                                               48     10     4810
Chile                                   Region                           Magallanes y Antártica Chilena                         48     11     4811
Chile                                   Region                           Maule                                                  48     12     4812
Chile                                   Region                           Región Metropolitana de Santiago                       48     13     4813
Chile                                   Region                           Tarapacá                                               48     14     4814
Chile                                   Region                           Valparaíso                                             48     15     4815
China                                   Autonomous Region                Guangxi                                                49      7     4907
China                                   Autonomous Region                Nei Mongol                                             49     19     4919
China                                   Autonomous Region                Ningxia Hui                                            49     20     4920
China                                   Autonomous Region                Xinjiang Uygur                                         49     28     4928
China                                   Autonomous Region                Xizang                                                 49     29     4929
China                                   Municipality                     Beijing                                                49      2     4902
China                                   Municipality                     Chongqing                                              49      3     4903
China                                   Municipality                     Shanghai                                               49     24     4924
China                                   Municipality                     Tianjin                                                49     27     4927
China                                   Province                         Anhui                                                  49      1     4901
China                                   Province                         Fujian                                                 49      4     4904
China                                   Province                         Gansu                                                  49      5     4905
China                                   Province                         Guangdong                                              49      6     4906
China                                   Province                         Guizhou                                                49      8     4908
China                                   Province                         Hainan                                                 49      9     4909
China                                   Province                         Hebei                                                  49     10     4910
China                                   Province                         Heilongjiang                                           49     11     4911
China                                   Province                         Henan                                                  49     12     4912
China                                   Province                         Hubei                                                  49     13     4913
China                                   Province                         Hunan                                                  49     14     4914
China                                   Province                         Jiangsu                                                49     15     4915
China                                   Province                         Jiangxi                                                49     16     4916
China                                   Province                         Jilin                                                  49     17     4917
China                                   Province                         Liaoning                                               49     18     4918
China                                   Province                         Qinghai                                                49     21     4921
China                                   Province                         Shaanxi                                                49     22     4922
China                                   Province                         Shandong                                               49     23     4923
China                                   Province                         Shanxi                                                 49     25     4925
China                                   Province                         Sichuan                                                49     26     4926
China                                   Province                         Yunnan                                                 49     30     4930
China                                   Province                         Zhejiang                                               49     31     4931
Colombia                                Commissiary                      Amazonas                                               53      1     5301
Colombia                                Commissiary                      Guainía                                                53     15     5315
Colombia                                Commissiary                      Guaviare                                               53     16     5316
Colombia                                Commissiary                      Vaupés                                                 53     31     5331
Colombia                                Commissiary                      Vichada                                                53     32     5332
Colombia                                Department                       Antioquia                                              53      2     5302
Colombia                                Department                       Atlántico                                              53      4     5304
Colombia                                Department                       Bolívar                                                53      5     5305
Colombia                                Department                       Boyacá                                                 53      6     5306
Colombia                                Department                       Caldas                                                 53      8     5308
Colombia                                Department                       Cauca                                                  53     11     5311
Colombia                                Department                       Cesar                                                  53     12     5312
Colombia                                Department                       Chocó                                                  53     13     5313
Colombia                                Department                       Cundinamarca                                           53     14     5314
Colombia                                Department                       Córdoba                                                53      7     5307
Colombia                                Department                       Huila                                                  53     17     5317
Colombia                                Department                       La Guajira                                             53     18     5318
Colombia                                Department                       Magdalena                                              53     19     5319
Colombia                                Department                       Meta                                                   53     20     5320
Colombia                                Department                       Nariño                                                 53     21     5321
Colombia                                Department                       Norte de Santander                                     53     22     5322
Colombia                                Department                       Quindío                                                53     24     5324
Colombia                                Department                       Risaralda                                              53     25     5325
Colombia                                Department                       San Andrés y Providencia                               53     26     5326
Colombia                                Department                       Santander                                              53     27     5327
Colombia                                Department                       Sucre                                                  53     28     5328
Colombia                                Department                       Tolima                                                 53     29     5329
Colombia                                Department                       Valle del Cauca                                        53     30     5330
Colombia                                Intendancy                       Arauca                                                 53      3     5303
Colombia                                Intendancy                       Caquetá                                                53      9     5309
Colombia                                Intendancy                       Casanare                                               53     10     5310
Colombia                                Intendancy                       Putumayo                                               53     23     5323
Comoros                                 Autonomous Island                Mwali                                                  54      1     5401
Comoros                                 Autonomous Island                Njazídja                                               54      2     5402
Comoros                                 Autonomous Island                Nzwani                                                 54      3     5403
Costa Rica                              Province                         Alajuela                                               56      1     5601
Costa Rica                              Province                         Cartago                                                56      2     5602
Costa Rica                              Province                         Guanacaste                                             56      3     5603
Costa Rica                              Province                         Heredia                                                56      4     5604
Costa Rica                              Province                         Limón                                                  56      5     5605
Costa Rica                              Province                         Puntarenas                                             56      6     5606
Costa Rica                              Province                         San José                                               56      7     5607
Croatia                                 City                             Grad Zagreb                                            58      5     5805
Croatia                                 County                           Bjelovarska-Bilogorska                                 58      2     5802
Croatia                                 County                           Brodsko-Posavska                                       58      3     5803
Croatia                                 County                           Dubrovacko-Neretvanska                                 58      4     5804
Croatia                                 County                           Istarska                                               58      6     5806
Croatia                                 County                           Karlovacka                                             58      7     5807
Croatia                                 County                           Koprivničko-Križevačka                                 58      8     5808
Croatia                                 County                           Krapinsko-Zagorska                                     58      9     5809
Croatia                                 County                           Licko-Senjska                                          58     10     5810
Croatia                                 County                           Medimurska                                             58     11     5811
Croatia                                 County                           Osjecko-Baranjska                                      58     12     5812
Croatia                                 County                           Požeško-Slavonska                                      58     13     5813
Croatia                                 County                           Primorsko-Goranska                                     58     14     5814
Croatia                                 County                           Sisacko-Moslavacka                                     58     15     5815
Croatia                                 County                           Splitsko-Dalmatinska                                   58     16     5816
Croatia                                 County                           Varaždinska                                            58     17     5817
Croatia                                 County                           Viroviticko-Podravska                                  58     18     5818
Croatia                                 County                           Vukovarsko-Srijemska                                   58     19     5819
Croatia                                 County                           Zadarska                                               58     20     5820
Croatia                                 County                           Zagrebačka                                             58     21     5821
Croatia                                 County                           Šibensko-Kninska                                       58      1     5801
Cuba                                    Province                         Camagüey                                               59      1     5901
Cuba                                    Province                         Ciego de Ávila                                         59      2     5902
Cuba                                    Province                         Cienfuegos                                             59      3     5903
Cuba                                    Province                         Ciudad de la Habana                                    59      4     5904
Cuba                                    Province                         Granma                                                 59      5     5905
Cuba                                    Province                         Guantánamo                                             59      6     5906
Cuba                                    Province                         Holguín                                                59      7     5907
Cuba                                    Province                         Isla de la Juventud                                    59      8     5908
Cuba                                    Province                         La Habana                                              59      9     5909
Cuba                                    Province                         Las Tunas                                              59     10     5910
Cuba                                    Province                         Matanzas                                               59     11     5911
Cuba                                    Province                         Mayabeque                                              59     12     5912
Cuba                                    Province                         Pinar del Río                                          59     13     5913
Cuba                                    Province                         Sancti Spíritus                                        59     14     5914
Cuba                                    Province                         Santiago de Cuba                                       59     15     5915
Cuba                                    Province                         Villa Clara                                            59     16     5916
Cyprus                                  District                         Famagusta                                              61      1     6101
Cyprus                                  District                         Larnaca                                                61      2     6102
Cyprus                                  District                         Limassol                                               61      3     6103
Cyprus                                  District                         Nicosia                                                61      4     6104
Cyprus                                  District                         Paphos                                                 61      5     6105
Czech Republic                          Region                           Jihomoravský                                           62      3     6203
Czech Republic                          Region                           Jihočeský                                              62      2     6202
Czech Republic                          Region                           Karlovarský                                            62      4     6204
Czech Republic                          Region                           Kraj Vysočina                                          62      6     6206
Czech Republic                          Region                           Královéhradecký                                        62      5     6205
Czech Republic                          Region                           Liberecký                                              62      7     6207
Czech Republic                          Region                           Moravskoslezský                                        62      8     6208
Czech Republic                          Region                           Olomoucký                                              62      9     6209
Czech Republic                          Region                           Pardubický                                             62     10     6210
Czech Republic                          Region                           Plzeňský                                               62     11     6211
Czech Republic                          Region                           Prague                                                 62     12     6212
Czech Republic                          Region                           Středočeský                                            62     13     6213
Czech Republic                          Region                           Zlínský                                                62     14     6214
Czech Republic                          Region                           Ústecký                                                62      1     6201
Côte d'Ivoire                           Autonomous district              Abidjan                                                57      1     5701
Côte d'Ivoire                           Autonomous district              Yamoussoukro                                           57     13     5713
Côte d'Ivoire                           District                         Bas-Sassandra                                          57      2     5702
Côte d'Ivoire                           District                         Comoé                                                  57      3     5703
Côte d'Ivoire                           District                         Denguélé                                               57      4     5704
Côte d'Ivoire                           District                         Gôh-Djiboua                                            57      5     5705
Côte d'Ivoire                           District                         Lacs                                                   57      6     5706
Côte d'Ivoire                           District                         Lagunes                                                57      7     5707
Côte d'Ivoire                           District                         Montagnes                                              57      8     5708
Côte d'Ivoire                           District                         Sassandra-Marahoué                                     57      9     5709
Côte d'Ivoire                           District                         Savanes                                                57     10     5710
Côte d'Ivoire                           District                         Vallée du Bandama                                      57     11     5711
Côte d'Ivoire                           District                         Woroba                                                 57     12     5712
Côte d'Ivoire                           District                         Zanzan                                                 57     14     5714
Democratic Republic of the Congo        Neutral City                     Kinshasa City                                          63      7     6307
Democratic Republic of the Congo        Province                         Bandundu                                               63      2     6302
Democratic Republic of the Congo        Province                         Bas-Congo                                              63      3     6303
Democratic Republic of the Congo        Province                         Kasaï-Occidental                                       63      4     6304
Democratic Republic of the Congo        Province                         Kasaï-Oriental                                         63      5     6305
Democratic Republic of the Congo        Province                         Katanga                                                63      6     6306
Democratic Republic of the Congo        Province                         Kivu                                                   63      8     6308
Democratic Republic of the Congo        Province                         Orientale                                              63      9     6309
Democratic Republic of the Congo        Province                         Équateur                                               63      1     6301
Denmark                                 Region                           Hovedstaden                                            64      1     6401
Denmark                                 Region                           Midtjylland                                            64      2     6402
Denmark                                 Region                           Nordjylland                                            64      3     6403
Denmark                                 Region                           Sjælland                                               64      4     6404
Denmark                                 Region                           Syddanmark                                             64      5     6405
Djibouti                                City                             Djibouti                                               65      3     6503
Djibouti                                Region                           Ali Sabieh                                             65      1     6501
Djibouti                                Region                           Dikhil                                                 65      2     6502
Djibouti                                Region                           Obock                                                  65      4     6504
Djibouti                                Region                           Tadjourah                                              65      5     6505
Dominica                                Parish                           Saint Andrew                                           67      1     6701
Dominica                                Parish                           Saint David                                            67      2     6702
Dominica                                Parish                           Saint George                                           67      3     6703
Dominica                                Parish                           Saint John                                             67      4     6704
Dominica                                Parish                           Saint Joseph                                           67      5     6705
Dominica                                Parish                           Saint Luke                                             67      6     6706
Dominica                                Parish                           Saint Mark                                             67      7     6707
Dominica                                Parish                           Saint Patrick                                          67      8     6708
Dominica                                Parish                           Saint Paul                                             67      9     6709
Dominica                                Parish                           Saint Peter                                            67     10     6710
Dominican Republic                      National District                Distrito Nacional                                      66      5     6605
Dominican Republic                      Province                         Azua                                                   66      1     6601
Dominican Republic                      Province                         Bahoruco                                               66      2     6602
Dominican Republic                      Province                         Barahona                                               66      3     6603
Dominican Republic                      Province                         Dajabón                                                66      4     6604
Dominican Republic                      Province                         Duarte                                                 66      6     6606
Dominican Republic                      Province                         El Seybo                                               66      7     6607
Dominican Republic                      Province                         Espaillat                                              66      8     6608
Dominican Republic                      Province                         Hato Mayor                                             66      9     6609
Dominican Republic                      Province                         Independencia                                          66     10     6610
Dominican Republic                      Province                         La Altagracia                                          66     11     6611
Dominican Republic                      Province                         La Estrelleta                                          66     12     6612
Dominican Republic                      Province                         La Romana                                              66     13     6613
Dominican Republic                      Province                         La Vega                                                66     14     6614
Dominican Republic                      Province                         María Trinidad Sánchez                                 66     15     6615
Dominican Republic                      Province                         Monseñor Nouel                                         66     16     6616
Dominican Republic                      Province                         Monte Cristi                                           66     17     6617
Dominican Republic                      Province                         Monte Plata                                            66     18     6618
Dominican Republic                      Province                         Pedernales                                             66     19     6619
Dominican Republic                      Province                         Peravia                                                66     20     6620
Dominican Republic                      Province                         Puerto Plata                                           66     21     6621
Dominican Republic                      Province                         Salcedo                                                66     23     6623
Dominican Republic                      Province                         Samaná                                                 66     24     6624
Dominican Republic                      Province                         San Cristóbal                                          66     25     6625
Dominican Republic                      Province                         San José de Ocoa                                       66     26     6626
